gene_id,B10_S1,B11_S2,B12_S3,D10_S4,D11_S5,D12_S6,H13_S7,H14_S8,H15_S9,L13_S10,L14_S11,L15_S12
FGRAM000v1_001153,285.930254,285.044962,233.481244,387.236681,399.501441,387.203481,317.317028,380.671308,340.601493,496.475113,498.638437,460.288129
FGRAM000v1_001154,586.199971,573.153942,637.069974,891.461319,778.118955,830.479646,758.402624,753.156615,754.236644,935.605691,973.037968,978.498204
FGRAM000v1_001155,80.273494,84.500382,82.749591,17.237899,15.832404,19.529213,13.722308,17.406302,14.435508,7.96436,8.852481,10.047025
FGRAM000v1_001156,398.411084,437.36203,403.639402,554.257345,554.382453,565.586687,356.729158,376.452334,364.021798,468.079272,496.741033,514.580675
FGRAM000v1_001157,30.988862,34.656206,25.960627,48.026694,47.416642,42.364906,47.089773,65.864098,46.111787,53.880708,45.273898,45.931245
FGRAM000v1_001158,5.280472,6.073157,3.551743,17.428534,21.61822,16.972441,6.155782,6.755426,8.307773,23.451871,25.932978,23.559527
FGRAM000v1_001159,4.284107,4.453737,7.255493,16.096659,18.2959,18.669122,21.771967,21.21046,21.859044,9.64982,10.546172,8.972995
FGRAM000v1_001160,19.453307,16.245308,16.965626,18.381929,20.082515,22.38593,21.579767,17.525978,19.066088,18.790391,16.143376,17.489527
FGRAM000v1_001161,184.643772,175.622551,177.377495,210.757798,183.584503,209.207176,174.936979,148.685349,171.34395,173.947836,191.196192,168.24155
FGRAM000v1_001162,444.01633,435.737776,428.915925,741.045486,685.495617,689.143676,469.151097,414.975705,460.06818,690.6189,672.509469,694.142967
FGRAM000v1_001163,4.693867,4.661851,4.388019,5.342409,5.239189,5.09659,4.628387,6.264559,5.677395,9.851972,8.336156,8.6412
FGRAM000v1_001164,22.574051,23.14547,31.902626,52.246043,30.714903,24.61173,23.958102,34.705067,37.567623,35.197284,32.607554,36.271138
FGRAM000v1_001165,11.241482,12.210509,10.369839,9.937394,11.529724,10.691845,8.837609,12.54101,8.758011,12.119154,12.102403,13.037466
FGRAM000v1_001166,16.076333,15.607095,11.824356,20.555263,17.082299,16.579957,18.482129,19.181321,18.309715,23.998199,21.922035,21.784406
FGRAM000v1_001167,364.9941,409.000785,317.026256,490.307124,535.667067,501.126206,338.350606,481.440128,400.877164,369.349645,392.218058,383.616514
FGRAM000v1_001168,26.27729,27.395891,20.408762,21.454865,21.234974,20.490171,22.972172,25.707881,21.576872,23.919525,25.443197,21.877405
