"","B10_S1","B11_S2","B12_S3","D10_S4","D11_S5","D12_S6","H13_S7","H14_S8","H15_S9","L13_S10","L14_S11","L15_S12"
"FGRAM000v1_002703",7.88374981610422,8.0039086641387,7.91088639271099,8.96344796123367,8.95469170925099,9.07311382040615,8.40608041198992,8.29410901477018,8.44267509080776,9.09494032326036,9.18576092950815,9.11653752196874
"FGRAM000v1_002704",6.68732623743696,6.81856068954899,6.55758514603379,6.6853615910428,6.64141903049424,6.55758514603379,6.82770557963516,6.55758514603379,6.70245538132973,6.78513761572883,6.76070990306067,6.80318135902966
"FGRAM000v1_002705",7.12900139062288,6.98357366877414,6.98670684975724,7.19807542376879,7.22534468059684,7.16910568397804,7.23297460613513,7.15039172226891,7.09973448593047,7.24050374961236,7.23440631000777,7.22674869109448
"FGRAM000v1_002706",6.72827755746528,6.69398450854891,6.55758514603379,6.55758514603379,6.81432215718301,6.69890582764167,6.63526364086471,6.64714369745222,6.77505135187324,6.76514817057867,6.64284003446161,6.7382455093344
"FGRAM000v1_002707",6.55758514603379,6.55758514603379,6.67363274881893,6.63851559494535,6.64153541634331,6.55758514603379,6.64037661502636,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379
"FGRAM000v1_002708",7.06965115654398,7.06743056069053,7.07570339085317,7.0665307102696,7.02736232648171,7.0714628258988,7.178114657639,6.9669847034725,6.963668050207,6.66263547533731,6.64310817250493,6.70296749221722
"FGRAM000v1_002709",10.3794517806692,10.3388077243597,10.6305717027771,7.55756110804714,7.58248940705094,7.33448904870717,10.7971293084695,10.6103207890255,10.8177659478233,7.4405308078611,7.55977067640467,7.55981705398273
"FGRAM000v1_002712",6.637987409729,6.69193322720398,6.55758514603379,6.55758514603379,6.68769220335975,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.62184979770783,6.55758514603379,6.64756707281131
"FGRAM000v1_002713",6.63943320942779,6.55758514603379,6.55758514603379,6.68460003662718,6.72818391305354,6.64881838285999,6.55758514603379,6.69489647573579,6.55758514603379,6.69257956172323,6.64208669376281,6.69879144785169
"FGRAM000v1_002714",6.640408492351,6.55758514603379,6.67111140374861,6.68594675404752,6.64139012139156,6.64919153758937,6.55758514603379,6.73687299442638,6.77747195512971,6.85411942852088,6.72860378044079,6.83143123956909
"FGRAM000v1_002715",6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.64167194369626,6.65017973564086,6.63793719146606,6.55758514603379,6.55758514603379,6.66129321728337,6.55758514603379,6.64723812007389
"FGRAM000v1_002716",6.63704208208396,6.68747489889473,6.55758514603379,6.55758514603379,6.68999313019666,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.72253916782461,6.690593860052,6.55758514603379
"FGRAM000v1_002717",6.75856133198246,7.01426634151845,6.86122575833018,7.6520107565729,7.80611477000289,7.72215280098919,6.88895012186824,6.87907400803356,6.95264212691476,7.76566143923694,7.711397750194,7.75468386728861
"FGRAM000v1_002718",6.63745098596892,6.55758514603379,6.55758514603379,6.6401096578319,6.55758514603379,6.65170842736457,6.6411435489514,6.55758514603379,6.55758514603379,6.74197299088708,6.63998938915881,6.55758514603379
"FGRAM000v1_002719",7.53423309582546,7.57047751738601,7.6252783940941,7.38525367667655,7.28291973877939,7.28358918500461,7.19061232922057,7.0862824946608,7.05729614302459,7.27382528412627,7.0977434976985,7.18921682224331
"FGRAM000v1_002722",6.68831689305143,6.866574916438,6.67115314897948,7.27401824167216,7.21314386281164,7.23643877028299,7.007319733277,7.01630462088655,7.13341827067862,7.42174074853244,7.2807733705065,7.18759025118034
