candidate,n_goi_partners,max_TOM,sum_TOM,goi_partners,module,product,GO
FGSG_00659,6,0.42421440541962924,2.484417399901399,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_08078;FGSG_08083,2,uncharacterized protein,GO:0004571;GO:0005509;GO:0005783;GO:0016021;GO:0030433
FGSG_04654,6,0.41985228649024153,2.4842494402265407,FGSG_01866;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_08083,2,uncharacterized protein,GO:0008061;GO:0016021
FGSG_08138,6,0.4253496860326565,2.483774849879722,FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_11326,2,uncharacterized protein,GO:0046872
FGSG_09784,6,0.4352842644018151,2.4837039790528364,FGSG_01866;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_08083,2,serine/threonine-protein kinase RIO2,GO:0000462;GO:0004674;GO:0005487;GO:0005524;GO:0005634;GO:0005829;GO:0006468;GO:0006913;GO:0046830
FGSG_00319,6,0.43728788406602664,2.482809346542566,FGSG_02272;FGSG_02461;FGSG_03894;FGSG_05610;FGSG_08774;FGSG_09012,1,uncharacterized protein,GO:0001300;GO:0002098;GO:0005634;GO:0005829;GO:0016300;GO:0030488;GO:0035690
FGSG_09161,6,0.42083212799956554,2.482674762721955,FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,
FGSG_01401,6,0.4235973433289674,2.4820005004549537,FGSG_01422;FGSG_02272;FGSG_03061;FGSG_03894;FGSG_05610;FGSG_10347,1,uncharacterized protein,
FGSG_00091,6,0.4362947054605029,2.480926470678298,FGSG_00743;FGSG_02272;FGSG_02461;FGSG_03061;FGSG_03894;FGSG_05610,1,uncharacterized protein,GO:0016740
FGSG_02724,6,0.42081532026836377,2.4808862322818976,FGSG_02324;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_11326,2,DNA repair protein RAD5,GO:0000209;GO:0000400;GO:0000403;GO:0000781;GO:0000790;GO:0005524;GO:0005737;GO:0006302;GO:0008094;GO:0008270;GO:0009378;GO:0010994;GO:0016021;GO:0032508;GO:0042276
FGSG_10333,6,0.4243353998839724,2.480464501952535,FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,GO:0016021
FGSG_08775,6,0.4491583149751189,2.4804306991901557,FGSG_00743;FGSG_00765;FGSG_03894;FGSG_05610;FGSG_08774;FGSG_10922,1,uncharacterized protein,GO:0008080
FGSG_06167,6,0.4461665198605654,2.479253618022002,FGSG_00743;FGSG_02272;FGSG_02461;FGSG_03894;FGSG_05610;FGSG_08774,1,uncharacterized protein,GO:0003735;GO:0005762;GO:0032543
FGSG_08906,6,0.43665268803794116,2.479030170615154,FGSG_00765;FGSG_02272;FGSG_02461;FGSG_03894;FGSG_05610;FGSG_08774,1,uncharacterized protein,GO:0004672;GO:0005524;GO:0006468
FGSG_07625,6,0.42120127166416843,2.4785391131535808,FGSG_03546;FGSG_03548;FGSG_04458;FGSG_08601;FGSG_09456;FGSG_09834,1,alpha-L-arabinofuranosidase precursor,GO:0046373;GO:0046556
FGSG_03766,6,0.4259469125743433,2.478357841675801,FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,
FGSG_10713,6,0.4267209713943754,2.478234580542616,FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,GO:0016787
FGSG_11552,6,0.43736373190985955,2.476865581983395,FGSG_00007;FGSG_01866;FGSG_02326;FGSG_02327;FGSG_08083;FGSG_13952,2,uncharacterized protein,GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0016021;GO:0055085
FGSG_09624,6,0.43045211110865106,2.475783112947477,FGSG_03546;FGSG_03548;FGSG_04458;FGSG_04589;FGSG_08601;FGSG_10347,1,uncharacterized protein,GO:0005524;GO:0005743;GO:0006515;GO:0016558;GO:0034599
FGSG_07134,6,0.4279966289150627,2.475057263303123,FGSG_00743;FGSG_03894;FGSG_04589;FGSG_08601;FGSG_10922;FGSG_12180,1,uncharacterized protein,GO:0016021;GO:0055085
FGSG_04204,6,0.427720629343884,2.4730663687153687,FGSG_00007;FGSG_03532;FGSG_03539;FGSG_08081;FGSG_08083;FGSG_13952,2,uncharacterized protein,GO:0005739;GO:0005886;GO:0006849;GO:0015355;GO:0015992;GO:0016021;GO:0035879;GO:0097079;GO:0097080
FGSG_12231,6,0.42762783560438794,2.4717375187839057,FGSG_00330;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_04458;FGSG_08601,1,uncharacterized protein,GO:0003840;GO:0006749
FGSG_10994,6,0.42539001874991167,2.470330886306669,FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_11326,2,uncharacterized protein,
FGSG_03368,6,0.4327700249912817,2.46729890542242,FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02903;FGSG_11326,2,uncharacterized protein,
FGSG_03518,6,0.42299386943139816,2.462956121648096,FGSG_02326;FGSG_02329;FGSG_08077;FGSG_08078;FGSG_10206;FGSG_12211,2,uncharacterized protein,
FGSG_01797,6,0.437262604143764,2.4576381242639287,FGSG_00007;FGSG_01866;FGSG_02327;FGSG_03532;FGSG_08083;FGSG_13952,2,uncharacterized protein,GO:0016853
FGSG_13672,6,0.414731738039422,2.457075986649518,FGSG_03546;FGSG_03548;FGSG_03894;FGSG_04458;FGSG_08601;FGSG_10347,1,uncharacterized protein,
FGSG_06612,6,0.41642795083329237,2.4555430364565365,FGSG_01866;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_08083,2,uncharacterized protein,GO:0033609;GO:0045735
FGSG_02862,6,0.41647863215310243,2.4538302806688272,FGSG_01866;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_08083,2,uncharacterized protein,GO:0005975;GO:0016021;GO:0016758
FGSG_10824,6,0.41840050680227403,2.4526760575225994,FGSG_00330;FGSG_03546;FGSG_03548;FGSG_04458;FGSG_08601;FGSG_10347,1,uncharacterized protein,
FGSG_01195,6,0.4248809854955035,2.451845560029969,FGSG_02272;FGSG_02461;FGSG_03548;FGSG_09012;FGSG_09456;FGSG_09834,1,uncharacterized protein,GO:0005524;GO:0005750;GO:0006122;GO:0008270;GO:0016787;GO:0016874;GO:0030163
FGSG_10314,6,0.42247390681607505,2.451046666795055,FGSG_03546;FGSG_03548;FGSG_04458;FGSG_04589;FGSG_08601;FGSG_10347,1,uncharacterized protein,
FGSG_04534,6,0.4209266795272462,2.450843939319662,FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,
FGSG_09317,6,0.41989734731365874,2.450254417851848,FGSG_03546;FGSG_03548;FGSG_04458;FGSG_08601;FGSG_09834;FGSG_10347,1,uncharacterized protein,GO:0016021
FGSG_09630,6,0.4147747522018528,2.4496152932600177,FGSG_00007;FGSG_03539;FGSG_08081;FGSG_08082;FGSG_08083;FGSG_13952,2,ubiquitin-conjugating enzyme E2 14,GO:0005524;GO:0030466
FGSG_07166,6,0.4276250070232275,2.4483387893439916,FGSG_00330;FGSG_03546;FGSG_03548;FGSG_04458;FGSG_08601;FGSG_10347,1,uncharacterized protein,GO:0000070;GO:0000941;GO:0005829;GO:0016021;GO:0031511;GO:0034501;GO:0034506;GO:0034508;GO:0044732;GO:0061641
FGSG_04288,6,0.4157421696068068,2.4428807262172367,FGSG_02272;FGSG_02461;FGSG_03061;FGSG_03894;FGSG_05610;FGSG_13136,1,uncharacterized protein,GO:0000122;GO:0000502;GO:0000978;GO:0001077;GO:0005634;GO:0006282;GO:0006366;GO:0032436;GO:0036003;GO:0046872
FGSG_08973,6,0.41099030833444844,2.4406399618064514,FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02903,2,uncharacterized protein,GO:0016021
FGSG_01751,6,0.41395158839597757,2.4405597339533434,FGSG_02324;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_11326,2,uncharacterized protein,GO:0004672;GO:0005524;GO:0006468
FGSG_00172,6,0.41120275519740346,2.438790035316315,FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,GO:0016740
FGSG_01508,6,0.4106465561511487,2.437180002513154,FGSG_03546;FGSG_03548;FGSG_04458;FGSG_08601;FGSG_09834;FGSG_10347,1,uncharacterized protein,GO:0002143;GO:0004792;GO:0005739
FGSG_08628,6,0.4115368732485225,2.436568216484928,FGSG_00743;FGSG_03894;FGSG_04458;FGSG_04589;FGSG_08601;FGSG_10347,1,uncharacterized protein,GO:0003824;GO:0005739;GO:0005783;GO:0050662
FGSG_06950,6,0.4070908608090244,2.424793965366142,FGSG_02271;FGSG_02272;FGSG_03061;FGSG_07075;FGSG_09456;FGSG_09834,1,sorting nexin-41,GO:0004484;GO:0006370;GO:0035091
FGSG_11918,5,0.4450175611585908,2.1684284018827613,FGSG_00743;FGSG_02272;FGSG_03061;FGSG_03894;FGSG_05610,1,uncharacterized protein,
FGSG_00068,5,0.43796958764574706,2.168284467683032,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_08083,2,alpha-galactosidase C precursor,GO:0004557;GO:0005975
FGSG_13883,5,0.43971679220042,2.1605758137327804,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_08083,2,uncharacterized protein,GO:0004563;GO:0005975;GO:0016021
