gene_id,DEG_black,l2fc_black,DEG_dark,l2fc_dark,DEG_low,l2fc_low
FGSG_04595,0,-0.139910872874267,1,-1.07979197854097,1,-2.02947136380401
FGSG_04596,0,-0.0871307500190237,1,-4.5780152815598,1,-3.95304762896081
FGSG_04763,0,-0.106134282393129,1,-2.79007898989252,1,-2.99390927267327
FGSG_04805,0,-0.930915769929365,0,-0.432827561562302,0,-0.174005859333078
FGSG_04848,0,0.0017773211367007,0,0.0289207787463151,0,-0.0050766800343622
FGSG_04852,0,-0.208974371840749,1,-1.36316426960996,1,-1.02475528517396
FGSG_04991,0,0.562165576325639,0,-0.0594225965460993,0,-0.228946607127104
FGSG_05368,0,0.698815259523617,0,-0.7840695362037,1,-1.22412559845038
FGSG_05372,0,0.414083747100453,0,-0.234847111658108,0,0.169803741228124
FGSG_05373,1,-1.08822808277347,0,0.0033234738266537,0,0.0105877790125069
FGSG_05454,0,-0.0887283389251353,0,-0.17473517853824,0,-0.601195899409405
FGSG_05610,0,0.30955759410649,0,-0.639761257033256,1,-1.04130666032711
FGSG_05733,0,0.491192735314142,0,0.535923419744846,0,0.146483787983089
FGSG_05843,0,-0.242891735733456,0,-0.737182620301356,0,-0.961967132482432
FGSG_05919,0,-0.107307302369004,1,1.92815548859752,1,1.72417459481319
FGSG_05925,0,-0.0044049750194033,0,0.139590821728705,0,0.404333947108568
FGSG_05926,0,-0.173765649333228,1,-1.95834064273002,1,-1.45891509691501
FGSG_06039,0,-0.551168336050245,0,0.236484134433403,0,-0.0211100289201553
FGSG_06055,0,-0.0528580846037685,0,-0.927189649151438,1,-1.08569091492034
FGSG_06130,0,0.0024825439459433,0,-0.277088173171668,0,-0.0068225546978963
FGSG_06257,0,-0.347104431712102,1,-1.30173011735428,1,-1.59516417919696
FGSG_06444,0,-0.393322518836953,1,-1.86149924968428,1,-3.42733954399239
FGSG_06467,0,,0,,0,
FGSG_06506,0,0.0509108212889912,0,-0.339776866001351,1,-1.11134264721924
FGSG_06702,0,-0.248092786600943,0,-0.584796789271931,0,-0.707363708556495
FGSG_06765,1,1.47162710524358,1,2.42446843317003,0,-0.778705731789993
FGSG_07075,0,-0.0109946661367247,0,-0.637500321036748,1,-1.05014630623653
FGSG_07204,0,-0.0366577175144304,0,0.146939543602586,0,0.990395645844318
FGSG_07528,0,-0.0802680315430546,0,-0.669120388629305,1,-1.20368475806589
FGSG_07896,0,-0.826173417187627,0,0.435209672540104,0,0.152426947185106
FGSG_07898,0,-0.280264948538018,0,-0.173496107678836,0,-0.0651941478771483
FGSG_07941,0,0.390657439347409,0,0.27233035515086,0,0.450376582203654
FGSG_07953,0,0.455566507137702,0,0.511199691329997,0,0.113222413795064
FGSG_07970,0,-0.120126100283745,0,-0.224128086986743,0,-0.185511462583249
FGSG_08044,0,-0.352499695545518,0,0.0992845822675665,0,0.284580509642884
FGSG_08077,1,-1.13101404667845,0,0.0230925035783706,0,0.487727946717605
FGSG_08078,1,-1.13268861793216,0,0.268685197851714,0,0.942467381668025
FGSG_08079,1,-1.2155959970539,0,0.14139557849468,0,0.368241033557221
FGSG_08080,1,-1.27845032517471,0,-0.316656687049874,0,0.0030724264624377
FGSG_08081,0,-0.902370421506013,0,0.686234154671651,0,0.600526721498316
FGSG_08082,0,-0.887157308730776,1,1.17552159137658,0,0.892687237906758
FGSG_08083,1,-1.0916786824251,1,1.16200690130884,1,1.23256024638282
FGSG_08084,1,-1.25202123311888,0,0.249075821848315,0,0.470628951081267
FGSG_08205,1,-1.42527178919612,0,0.0229093096754402,0,0.278598119444017
FGSG_08206,0,-0.0135004408238571,0,0.0649114643919123,0,-0.154572018398396
FGSG_08207,1,3.78888027854088,1,4.43792889640779,0,0.385092832400571
FGSG_08208,0,0.0711424122055576,1,2.25850827080395,0,0.364973016089047
FGSG_08209,0,0.0767652215642638,0,0.0331064251253332,0,0.435102673297375
FGSG_08213,1,1.46341903950704,1,1.22468166927814,0,0.21748457184474
