gene_id,product,black,dark,low,black_dir,dark_dir,low_dir,n_treatments,region
FGSG_00596,uncharacterized protein,0,1,0,,down,,1,D
FGSG_00599,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_00602,uncharacterized protein,1,1,1,down,up,up,3,BDL
FGSG_00603,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00618,uncharacterized protein,1,0,1,down,,up,2,BL
FGSG_00619,uncharacterized protein,1,0,0,down,,,1,B
FGSG_00642,uncharacterized protein,1,0,0,up,,,1,B
FGSG_00647,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00655,uncharacterized protein,0,1,0,,up,,1,D
FGSG_00659,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00660,WD repeat-containing protein slp1,0,0,1,,,up,1,L
FGSG_00663,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00665,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00672,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00712,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00713,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00720,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00728,uncharacterized protein,1,0,0,down,,,1,B
FGSG_00734,uncharacterized protein,1,1,1,down,down,down,3,BDL
FGSG_00735,uncharacterized protein,1,0,0,up,,,1,B
FGSG_00760,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00769,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00771,uncharacterized protein,0,1,0,,up,,1,D
FGSG_00773,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00775,uncharacterized protein,0,1,0,,down,,1,D
FGSG_00793,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00794,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00797,deoxyribodipyrimidine photo-lyase,0,1,0,,up,,1,D
FGSG_00805,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00806,alkaline proteinase precursor,1,0,0,down,,,1,B
FGSG_00807,uncharacterized protein,1,0,0,down,,,1,B
FGSG_00836,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00840,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00857,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00860,uncharacterized protein,1,0,0,up,,,1,B
FGSG_00871,thioredoxin reductase,0,0,1,,,down,1,L
FGSG_00878,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00879,uncharacterized protein,1,0,0,down,,,1,B
FGSG_00885,uncharacterized protein,1,1,0,down,down,,2,BD
FGSG_00889,uncharacterized protein,0,1,0,,up,,1,D
FGSG_00917,uncharacterized protein,0,1,0,,down,,1,D
FGSG_00945,peptidyl-prolyl isomerase CWC27,1,0,0,up,,,1,B
FGSG_00946,uncharacterized protein,1,0,0,up,,,1,B
FGSG_00979,aldehyde dehydrogenase,1,0,1,down,,down,2,BL
FGSG_00984,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00992,uncharacterized protein,1,0,1,up,,down,2,BL
FGSG_01003,uncharacterized protein,1,1,0,up,down,,2,BD
FGSG_01015,heat shock protein 78,1,0,0,up,,,1,B
FGSG_01018,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_01030,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01031,uncharacterized protein,0,0,1,,,down,1,L
FGSG_01042,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01045,uncharacterized protein,0,1,0,,up,,1,D
FGSG_01048,uncharacterized protein,0,1,0,,up,,1,D
FGSG_01072,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_01107,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_01141,delta-1-pyrroline-5-carboxylate dehydrogenase,0,0,1,,,down,1,L
FGSG_01142,uncharacterized protein,0,1,0,,down,,1,D
FGSG_01149,uncharacterized protein,1,1,1,up,down,down,3,BDL
FGSG_01150,endopolyphosphatase,0,0,1,,,down,1,L
FGSG_01157,DNA repair protein RAD51,1,0,0,up,,,1,B
FGSG_01158,30 kDa heat shock protein,1,0,1,up,,down,2,BL
FGSG_01159,uncharacterized protein,1,1,1,up,down,down,3,BDL
FGSG_01162,uncharacterized protein,0,0,1,,,down,1,L
FGSG_01205,uncharacterized protein,1,0,0,up,,,1,B
FGSG_01214,uncharacterized protein,0,0,1,,,down,1,L
FGSG_01221,uncharacterized protein,1,0,1,down,,up,2,BL
FGSG_01223,uncharacterized protein,0,1,0,,down,,1,D
FGSG_01239,uncharacterized protein,1,1,0,down,down,,2,BD
FGSG_01250,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01255,uncharacterized protein,1,1,1,up,up,down,3,BDL
FGSG_01268,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01283,uncharacterized protein,0,1,0,,up,,1,D
FGSG_01284,uncharacterized protein,1,0,1,down,,up,2,BL
FGSG_01285,uncharacterized protein,1,0,0,down,,,1,B
FGSG_01286,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01298,uncharacterized protein,1,1,1,up,up,up,3,BDL
FGSG_01342,alternative oxidase,1,0,0,up,,,1,B
FGSG_01346,enolase,0,1,0,,down,,1,D
FGSG_01352,uncharacterized protein,0,0,1,,,down,1,L
FGSG_01366,uncharacterized protein,1,0,0,up,,,1,B
FGSG_01379,uncharacterized protein,1,1,1,down,up,up,3,BDL
FGSG_01403,uncharacterized protein,0,0,1,,,down,1,L
FGSG_01459,uncharacterized protein,0,1,0,,up,,1,D
FGSG_01483,uncharacterized protein,0,1,0,,down,,1,D
FGSG_01491,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_01496,uncharacterized protein,0,1,0,,down,,1,D
FGSG_01507,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01514,uncharacterized protein,0,1,0,,up,,1,D
FGSG_01523,NAD(P)H-dependent D-xylose reductase,0,0,1,,,down,1,L
FGSG_01567,uncharacterized protein,0,1,0,,down,,1,D
FGSG_01571,uncharacterized protein,0,1,0,,up,,1,D
FGSG_01579,uncharacterized protein,0,1,0,,up,,1,D
FGSG_01580,uncharacterized protein,1,1,1,down,up,up,3,BDL
FGSG_01587,uncharacterized protein,0,1,0,,up,,1,D
FGSG_01588,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01593,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01596,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_01599,uncharacterized protein,1,1,1,up,down,down,3,BDL
FGSG_01603,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_01606,uncharacterized protein,1,0,0,up,,,1,B
FGSG_01617,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_01631,uncharacterized protein,1,0,0,up,,,1,B
FGSG_01645,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01662,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_01672,pyrimidine precursor biosynthesis enzyme THI12,0,1,1,,down,down,2,DL
FGSG_01674,uncharacterized protein,1,1,0,up,up,,2,BD
FGSG_01680,uncharacterized protein,1,1,1,up,up,up,3,BDL
FGSG_01686,uncharacterized protein,1,1,0,up,down,,2,BD
FGSG_01695,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_01713,uncharacterized protein,0,1,0,,down,,1,D
FGSG_01724,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01727,uncharacterized protein,0,1,0,,down,,1,D
FGSG_01733,uncharacterized protein,0,0,1,,,down,1,L
FGSG_01744,uncharacterized protein,1,0,1,down,,up,2,BL
FGSG_01745,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01746,uncharacterized protein,1,0,1,up,,down,2,BL
FGSG_01747,uncharacterized protein,1,0,0,up,,,1,B
FGSG_01751,uncharacterized protein,0,1,0,,up,,1,D
FGSG_01764,uncharacterized protein,1,1,0,down,down,,2,BD
FGSG_01766,uncharacterized protein,1,0,0,up,,,1,B
FGSG_01779,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01780,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_01787,uncharacterized protein,0,1,0,,up,,1,D
FGSG_01790,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01792,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_01797,uncharacterized protein,1,0,0,down,,,1,B
FGSG_01799,uncharacterized protein,1,1,1,down,down,up,3,BDL
FGSG_01805,uncharacterized protein,1,0,0,up,,,1,B
FGSG_01806,uncharacterized protein,1,0,0,up,,,1,B
